time_sk,zone_sk,line_sk,hour,annule,annule_pred,annule_proba,risk_label,generated_at
12006,7,15,5,0,0,0.0355,Low,2026-04-04 09:56:33 UTC
9692,7,11,19,0,0,0.0586,Low,2026-04-04 09:56:33 UTC
34704,8,9,23,0,0,0.0742,Low,2026-04-04 09:56:33 UTC
29004,9,5,11,0,0,0.0117,Low,2026-04-04 09:56:33 UTC
18112,10,2,15,0,0,0.0003,Low,2026-04-04 09:56:33 UTC
11692,6,5,3,0,0,0.0003,Low,2026-04-04 09:56:33 UTC
25660,5,14,3,0,0,0.0468,Low,2026-04-04 09:56:33 UTC
7430,4,5,13,0,0,0.0077,Low,2026-04-04 09:56:33 UTC
28359,10,11,14,0,0,0.0228,Low,2026-04-04 09:56:33 UTC
16940,4,7,19,0,0,0.0137,Low,2026-04-04 09:56:33 UTC
2378,4,9,1,0,0,0.0004,Low,2026-04-04 09:56:33 UTC
1025,9,8,16,0,0,0.2085,Medium,2026-04-04 09:56:33 UTC
2246,10,10,13,0,0,0.001,Low,2026-04-04 09:56:33 UTC
20747,1,11,10,0,0,0.0031,Low,2026-04-04 09:56:33 UTC
29389,6,7,12,0,0,0.0686,Low,2026-04-04 09:56:33 UTC
7430,4,1,13,0,0,0.0025,Low,2026-04-04 09:56:33 UTC
473,8,8,16,0,0,0.0132,Low,2026-04-04 09:56:33 UTC
982,2,13,21,0,0,0.0568,Low,2026-04-04 09:56:33 UTC
10933,6,7,12,0,0,0.091,Low,2026-04-04 09:56:33 UTC
10933,3,7,12,0,0,0.1612,Low,2026-04-04 09:56:33 UTC
35014,2,5,21,0,0,0.0157,Low,2026-04-04 09:56:33 UTC
2118,1,3,5,0,0,0.1052,Low,2026-04-04 09:56:33 UTC
4714,6,1,9,0,0,0.0079,Low,2026-04-04 09:56:33 UTC
4034,7,1,1,0,0,0.0023,Low,2026-04-04 09:56:33 UTC
1167,4,14,14,0,0,0.4549,Medium,2026-04-04 09:56:33 UTC
1184,1,12,7,0,0,0.1154,Low,2026-04-04 09:56:33 UTC
21410,2,10,1,0,0,0.0007,Low,2026-04-04 09:56:33 UTC
7718,1,5,13,0,0,0.012,Low,2026-04-04 09:56:33 UTC
13675,4,4,18,0,0,0.0413,Low,2026-04-04 09:56:33 UTC
16610,9,13,1,0,0,0.0574,Low,2026-04-04 09:56:33 UTC
18377,1,13,16,0,0,0.3539,Medium,2026-04-04 09:56:33 UTC
6028,8,12,3,0,0,0.019,Low,2026-04-04 09:56:33 UTC
27303,2,3,14,0,0,0.0325,Low,2026-04-04 09:56:33 UTC
28023,4,3,14,0,0,0.0139,Low,2026-04-04 09:56:33 UTC
13223,5,11,22,0,0,0.007,Low,2026-04-04 09:56:33 UTC
13376,1,7,7,0,0,0.0048,Low,2026-04-04 09:56:33 UTC
15442,6,15,9,0,0,0.0021,Low,2026-04-04 09:56:33 UTC
5162,2,10,1,0,0,0.0137,Low,2026-04-04 09:56:33 UTC
12806,6,5,13,0,0,0.0366,Low,2026-04-04 09:56:33 UTC
11203,5,1,18,0,0,0.0002,Low,2026-04-04 09:56:33 UTC
13398,9,13,5,1,1,0.9544,High,2026-04-04 09:56:33 UTC
26404,7,11,3,0,0,0.001,Low,2026-04-04 09:56:33 UTC
16617,10,2,8,0,0,0.0254,Low,2026-04-04 09:56:33 UTC
30651,9,15,2,0,0,0.1302,Low,2026-04-04 09:56:33 UTC
30651,1,15,2,0,0,0.0011,Low,2026-04-04 09:56:33 UTC
28622,9,11,13,0,0,0.0433,Low,2026-04-04 09:56:33 UTC
23547,10,5,2,0,0,0.0068,Low,2026-04-04 09:56:33 UTC
2458,5,10,9,0,0,0.0385,Low,2026-04-04 09:56:33 UTC
570,10,2,17,0,0,0.0013,Low,2026-04-04 09:56:33 UTC
33359,4,10,22,0,0,0.2098,Medium,2026-04-04 09:56:33 UTC
33881,3,15,16,0,0,0.021,Low,2026-04-04 09:56:33 UTC
34720,5,14,15,0,0,0.0756,Low,2026-04-04 09:56:33 UTC
