ds,zone_sk,congestion_forecast,congestion_lower,congestion_upper
2019-01-01,1,1.389,0.0733,2.8417
2019-01-02,1,1.7753,0.4289,3.222
2019-02-01,1,1.7439,0.3167,3.2399
2019-02-02,1,1.8652,0.4238,3.2792
2019-02-03,1,1.8864,0.5034,3.2875
2019-02-04,1,1.9401,0.4381,3.3253
2019-02-05,1,1.7463,0.3295,3.0892
2019-02-06,1,1.8433,0.4618,3.2282
2019-03-01,1,2.182,0.7574,3.5833
2019-03-02,1,2.2463,0.9221,3.74
2019-03-03,1,2.1973,0.7265,3.6167
2019-03-04,1,2.1684,0.8353,3.5284
2019-03-05,1,1.8807,0.5101,3.3527
2019-03-06,1,1.874,0.3722,3.23
2019-03-07,1,1.7811,0.4047,3.1758
2019-03-08,1,1.589,0.2306,3.0364
2019-03-09,1,1.6308,0.3087,3.1504
2019-03-10,1,1.5726,0.0959,2.8999
2019-04-01,1,2.9528,1.5599,4.3952
2019-04-02,1,2.8867,1.5015,4.3397
2019-04-03,1,3.095,1.705,4.54
2019-04-04,1,3.2064,1.7858,4.6278
2019-04-05,1,3.2039,1.7672,4.7511
2019-04-06,1,3.4169,2.0018,4.7807
2019-04-07,1,3.5083,2.0422,4.8854
2019-04-08,1,3.6091,2.1491,5.0772
2019-04-09,1,3.4383,2.1075,4.7503
2019-04-10,1,3.5338,2.1094,4.9337
2019-04-11,1,3.5266,2.133,5.0221
2019-04-12,1,3.4023,2.0519,4.9354
2019-04-13,1,3.4925,2.0465,4.9089
2019-05-01,1,1.5865,0.1432,3.0463
2019-05-02,1,1.8758,0.5193,3.1085
2019-05-03,1,1.7559,0.3627,3.2143
2019-05-04,1,1.8764,0.3978,3.3962
2019-05-05,1,1.9004,0.4799,3.3096
2019-05-06,1,1.959,0.6358,3.4156
2019-05-07,1,1.7702,0.3378,3.2511
2019-06-01,1,2.1716,0.7196,3.5969
2019-06-02,1,2.2344,0.9061,3.7004
2019-06-03,1,2.3313,0.9529,3.7628
2019-06-04,1,2.1817,0.7375,3.6396
2019-06-05,1,2.3231,0.8779,3.6425
2019-06-06,1,2.3858,1.0155,3.696
2019-06-07,1,2.3539,0.9265,3.7543
2019-06-08,1,2.5573,1.1652,3.9686
2019-06-09,1,2.6589,1.2665,4.1186
2019-06-10,1,2.4719,1.1025,3.9854
2019-06-11,1,2.6662,1.3204,4.0106
2019-06-12,1,2.8264,1.4933,4.1976
2019-06-13,1,2.8991,1.4208,4.2939
2019-06-14,1,2.8674,1.4799,4.2925
2019-06-15,1,3.0606,1.663,4.4788
2019-07-01,1,2.6165,1.2076,4.0648
2019-07-02,1,2.3052,0.8702,3.7458
2019-07-03,1,2.2772,0.7307,3.7371
2019-07-04,1,2.1655,0.7238,3.5354
2019-07-05,1,1.9569,0.5774,3.3487
2019-07-06,1,1.9842,0.5902,3.3593
2019-07-07,1,1.9132,0.454,3.2977
2019-07-08,1,1.8777,0.4515,3.3182
2019-07-09,1,1.5985,0.1915,2.914
2019-07-10,1,1.6149,0.1514,3.1307
2019-07-11,1,1.5589,0.1309,3.012
2019-07-12,1,1.4162,0.0973,2.7782
2019-08-01,1,2.6428,1.3383,4.1182
2019-09-01,1,2.3814,0.9891,3.829
2019-09-02,1,2.4452,0.9734,3.8447
2019-09-03,1,2.2582,0.9128,3.5941
2019-09-04,1,2.358,0.9952,3.6888
2019-09-05,1,2.375,1.0162,3.9126
2019-09-06,1,2.2936,0.7693,3.7854
2019-09-07,1,2.4442,0.957,3.8445
2019-09-08,1,2.4904,1.0696,3.9225
2019-09-09,1,2.5638,1.053,4.0133
2019-09-10,1,2.3833,0.861,3.7765
2019-10-01,1,2.378,0.9656,3.7682
2019-10-02,1,2.4455,1.0968,3.9791
2019-10-03,1,2.4287,1.042,3.8867
2019-10-04,1,2.3127,0.8711,3.7373
2019-11-01,1,1.9393,0.5174,3.3713
2019-11-02,1,2.8219,1.4562,4.2715
2019-11-03,1,2.8455,1.3796,4.3206
2019-11-04,1,2.8893,1.4123,4.228
2019-11-05,1,2.6724,1.2224,4.0332
2019-11-06,1,2.7326,1.3782,4.1563
2019-11-07,1,2.701,1.351,4.0206
2019-12-01,1,1.6077,0.2376,3.0829
2019-12-02,1,1.6814,0.2445,3.1262
2019-12-03,1,1.5085,0.1841,2.9111
2019-12-04,1,1.6263,0.2549,3.0028
2019-12-05,1,1.6647,0.2647,2.9792
2019-12-06,1,1.6075,0.2037,3.0843
2019-12-07,1,1.7847,0.3171,3.1538
2019-12-08,1,1.8592,0.4747,3.2836
2019-12-09,1,1.9619,0.5927,3.2931
2019-12-10,1,1.8112,0.5502,3.3378
2019-12-11,1,1.9441,0.5362,3.4718
2019-12-12,1,1.9906,0.5303,3.4977
2019-12-13,1,1.9346,0.4726,3.3498
2020-01-01,1,1.8702,0.4596,3.3025
2020-01-02,1,2.1697,0.6882,3.6052
2020-01-03,1,2.0731,0.6263,3.5354
