zone_sk,time_sk,annee,mois,anomaly_score,is_anomaly,anomaly_label,generated_at
1,1,2019,1,0.082461,0,Normal,2026-04-04 10:48:12 UTC
1,1,2019,1,0.082461,0,Normal,2026-04-04 10:48:12 UTC
1,1,2019,1,0.082461,0,Normal,2026-04-04 10:48:12 UTC
1,1,2019,1,0.082461,0,Normal,2026-04-04 10:48:12 UTC
2,1,2019,1,0.14389,0,Normal,2026-04-04 10:48:12 UTC
2,1,2019,1,0.14389,0,Normal,2026-04-04 10:48:12 UTC
2,1,2019,1,0.14389,0,Normal,2026-04-04 10:48:12 UTC
2,1,2019,1,0.14389,0,Normal,2026-04-04 10:48:12 UTC
3,1,2019,1,0.131405,0,Normal,2026-04-04 10:48:12 UTC
3,1,2019,1,0.131405,0,Normal,2026-04-04 10:48:12 UTC
3,1,2019,1,0.131405,0,Normal,2026-04-04 10:48:12 UTC
3,1,2019,1,0.131405,0,Normal,2026-04-04 10:48:12 UTC
4,1,2019,1,0.130508,0,Normal,2026-04-04 10:48:12 UTC
4,1,2019,1,0.130508,0,Normal,2026-04-04 10:48:12 UTC
4,1,2019,1,0.130508,0,Normal,2026-04-04 10:48:12 UTC
4,1,2019,1,0.130508,0,Normal,2026-04-04 10:48:12 UTC
5,1,2019,1,0.151183,0,Normal,2026-04-04 10:48:12 UTC
5,1,2019,1,0.151183,0,Normal,2026-04-04 10:48:12 UTC
5,1,2019,1,0.151183,0,Normal,2026-04-04 10:48:12 UTC
5,1,2019,1,0.151183,0,Normal,2026-04-04 10:48:12 UTC
6,1,2019,1,-0.002932,1,Alert — abnormal spike,2026-04-04 10:48:12 UTC
6,1,2019,1,-0.002932,1,Alert — abnormal spike,2026-04-04 10:48:12 UTC
6,1,2019,1,-0.002932,1,Alert — abnormal spike,2026-04-04 10:48:12 UTC
6,1,2019,1,-0.002932,1,Alert — abnormal spike,2026-04-04 10:48:12 UTC
7,1,2019,1,0.156424,0,Normal,2026-04-04 10:48:12 UTC
7,1,2019,1,0.156424,0,Normal,2026-04-04 10:48:12 UTC
7,1,2019,1,0.156424,0,Normal,2026-04-04 10:48:12 UTC
7,1,2019,1,0.156424,0,Normal,2026-04-04 10:48:12 UTC
8,1,2019,1,-0.001893,1,Alert — abnormal spike,2026-04-04 10:48:12 UTC
8,1,2019,1,-0.001893,1,Alert — abnormal spike,2026-04-04 10:48:12 UTC
8,1,2019,1,-0.001893,1,Alert — abnormal spike,2026-04-04 10:48:12 UTC
8,1,2019,1,-0.001893,1,Alert — abnormal spike,2026-04-04 10:48:12 UTC
9,1,2019,1,0.118768,0,Normal,2026-04-04 10:48:12 UTC
9,1,2019,1,0.118768,0,Normal,2026-04-04 10:48:12 UTC
9,1,2019,1,0.118768,0,Normal,2026-04-04 10:48:12 UTC
10,1,2019,1,0.110114,0,Normal,2026-04-04 10:48:12 UTC
10,1,2019,1,0.110114,0,Normal,2026-04-04 10:48:12 UTC
10,1,2019,1,0.110114,0,Normal,2026-04-04 10:48:12 UTC
10,1,2019,1,0.110114,0,Normal,2026-04-04 10:48:12 UTC
1,745,2019,2,-4.3e-05,1,Alert — abnormal spike,2026-04-04 10:48:12 UTC
1,745,2019,2,-4.3e-05,1,Alert — abnormal spike,2026-04-04 10:48:12 UTC
1,745,2019,2,-4.3e-05,1,Alert — abnormal spike,2026-04-04 10:48:12 UTC
1,745,2019,2,-4.3e-05,1,Alert — abnormal spike,2026-04-04 10:48:12 UTC
2,745,2019,2,0.057959,0,Normal,2026-04-04 10:48:12 UTC
2,745,2019,2,0.057959,0,Normal,2026-04-04 10:48:12 UTC
2,745,2019,2,0.057959,0,Normal,2026-04-04 10:48:12 UTC
2,745,2019,2,0.057959,0,Normal,2026-04-04 10:48:12 UTC
3,745,2019,2,0.161491,0,Normal,2026-04-04 10:48:12 UTC
3,745,2019,2,0.161491,0,Normal,2026-04-04 10:48:12 UTC
3,745,2019,2,0.161491,0,Normal,2026-04-04 10:48:12 UTC
3,745,2019,2,0.161491,0,Normal,2026-04-04 10:48:12 UTC
4,745,2019,2,0.11067,0,Normal,2026-04-04 10:48:12 UTC
4,745,2019,2,0.11067,0,Normal,2026-04-04 10:48:12 UTC
4,745,2019,2,0.11067,0,Normal,2026-04-04 10:48:12 UTC
4,745,2019,2,0.11067,0,Normal,2026-04-04 10:48:12 UTC
5,745,2019,2,0.171935,0,Normal,2026-04-04 10:48:12 UTC
5,745,2019,2,0.171935,0,Normal,2026-04-04 10:48:12 UTC
5,745,2019,2,0.171935,0,Normal,2026-04-04 10:48:12 UTC
5,745,2019,2,0.171935,0,Normal,2026-04-04 10:48:12 UTC
6,745,2019,2,0.065234,0,Normal,2026-04-04 10:48:12 UTC
6,745,2019,2,0.065234,0,Normal,2026-04-04 10:48:12 UTC
6,745,2019,2,0.065234,0,Normal,2026-04-04 10:48:12 UTC
6,745,2019,2,0.065234,0,Normal,2026-04-04 10:48:12 UTC
7,745,2019,2,0.182149,0,Normal,2026-04-04 10:48:12 UTC
7,745,2019,2,0.182149,0,Normal,2026-04-04 10:48:12 UTC
7,745,2019,2,0.182149,0,Normal,2026-04-04 10:48:12 UTC
7,745,2019,2,0.182149,0,Normal,2026-04-04 10:48:12 UTC
8,745,2019,2,0.169659,0,Normal,2026-04-04 10:48:12 UTC
8,745,2019,2,0.169659,0,Normal,2026-04-04 10:48:12 UTC
8,745,2019,2,0.169659,0,Normal,2026-04-04 10:48:12 UTC
8,745,2019,2,0.169659,0,Normal,2026-04-04 10:48:12 UTC
9,745,2019,2,0.033685,0,Normal,2026-04-04 10:48:12 UTC
9,745,2019,2,0.033685,0,Normal,2026-04-04 10:48:12 UTC
9,745,2019,2,0.033685,0,Normal,2026-04-04 10:48:12 UTC
9,745,2019,2,0.033685,0,Normal,2026-04-04 10:48:12 UTC
10,745,2019,2,-0.036145,1,Alert — abnormal spike,2026-04-04 10:48:12 UTC
10,745,2019,2,-0.036145,1,Alert — abnormal spike,2026-04-04 10:48:12 UTC
10,745,2019,2,-0.036145,1,Alert — abnormal spike,2026-04-04 10:48:12 UTC
10,745,2019,2,-0.036145,1,Alert — abnormal spike,2026-04-04 10:48:12 UTC
1,1417,2019,3,0.119741,0,Normal,2026-04-04 10:48:12 UTC
1,1417,2019,3,0.119741,0,Normal,2026-04-04 10:48:12 UTC
1,1417,2019,3,0.119741,0,Normal,2026-04-04 10:48:12 UTC
1,1417,2019,3,0.119741,0,Normal,2026-04-04 10:48:12 UTC
2,1417,2019,3,0.161233,0,Normal,2026-04-04 10:48:12 UTC
2,1417,2019,3,0.161233,0,Normal,2026-04-04 10:48:12 UTC
2,1417,2019,3,0.161233,0,Normal,2026-04-04 10:48:12 UTC
2,1417,2019,3,0.161233,0,Normal,2026-04-04 10:48:12 UTC
3,1417,2019,3,0.140183,0,Normal,2026-04-04 10:48:12 UTC
3,1417,2019,3,0.140183,0,Normal,2026-04-04 10:48:12 UTC
3,1417,2019,3,0.140183,0,Normal,2026-04-04 10:48:12 UTC
3,1417,2019,3,0.140183,0,Normal,2026-04-04 10:48:12 UTC
4,1417,2019,3,0.141338,0,Normal,2026-04-04 10:48:12 UTC
4,1417,2019,3,0.141338,0,Normal,2026-04-04 10:48:12 UTC
4,1417,2019,3,0.141338,0,Normal,2026-04-04 10:48:12 UTC
4,1417,2019,3,0.141338,0,Normal,2026-04-04 10:48:12 UTC
5,1417,2019,3,0.185754,0,Normal,2026-04-04 10:48:12 UTC
5,1417,2019,3,0.185754,0,Normal,2026-04-04 10:48:12 UTC
5,1417,2019,3,0.185754,0,Normal,2026-04-04 10:48:12 UTC
5,1417,2019,3,0.185754,0,Normal,2026-04-04 10:48:12 UTC
6,1417,2019,3,0.192773,0,Normal,2026-04-04 10:48:12 UTC
6,1417,2019,3,0.192773,0,Normal,2026-04-04 10:48:12 UTC
6,1417,2019,3,0.192773,0,Normal,2026-04-04 10:48:12 UTC
6,1417,2019,3,0.192773,0,Normal,2026-04-04 10:48:12 UTC
7,1417,2019,3,0.194096,0,Normal,2026-04-04 10:48:12 UTC
7,1417,2019,3,0.194096,0,Normal,2026-04-04 10:48:12 UTC
7,1417,2019,3,0.194096,0,Normal,2026-04-04 10:48:12 UTC
7,1417,2019,3,0.194096,0,Normal,2026-04-04 10:48:12 UTC
8,1417,2019,3,0.181779,0,Normal,2026-04-04 10:48:12 UTC
8,1417,2019,3,0.181779,0,Normal,2026-04-04 10:48:12 UTC
8,1417,2019,3,0.181779,0,Normal,2026-04-04 10:48:12 UTC
8,1417,2019,3,0.181779,0,Normal,2026-04-04 10:48:12 UTC
9,1417,2019,3,0.156562,0,Normal,2026-04-04 10:48:12 UTC
9,1417,2019,3,0.156562,0,Normal,2026-04-04 10:48:12 UTC
9,1417,2019,3,0.156562,0,Normal,2026-04-04 10:48:12 UTC
9,1417,2019,3,0.156562,0,Normal,2026-04-04 10:48:12 UTC
10,1417,2019,3,0.152864,0,Normal,2026-04-04 10:48:12 UTC
10,1417,2019,3,0.152864,0,Normal,2026-04-04 10:48:12 UTC
10,1417,2019,3,0.152864,0,Normal,2026-04-04 10:48:12 UTC
10,1417,2019,3,0.152864,0,Normal,2026-04-04 10:48:12 UTC
1,2161,2019,4,-0.084825,1,Alert — abnormal spike,2026-04-04 10:48:12 UTC
1,2161,2019,4,-0.084825,1,Alert — abnormal spike,2026-04-04 10:48:12 UTC
1,2161,2019,4,-0.084825,1,Alert — abnormal spike,2026-04-04 10:48:12 UTC
1,2161,2019,4,-0.084825,1,Alert — abnormal spike,2026-04-04 10:48:12 UTC
2,2161,2019,4,0.166934,0,Normal,2026-04-04 10:48:12 UTC
2,2161,2019,4,0.166934,0,Normal,2026-04-04 10:48:12 UTC
2,2161,2019,4,0.166934,0,Normal,2026-04-04 10:48:12 UTC
2,2161,2019,4,0.166934,0,Normal,2026-04-04 10:48:12 UTC
3,2161,2019,4,0.155769,0,Normal,2026-04-04 10:48:12 UTC
3,2161,2019,4,0.155769,0,Normal,2026-04-04 10:48:12 UTC
3,2161,2019,4,0.155769,0,Normal,2026-04-04 10:48:12 UTC
3,2161,2019,4,0.155769,0,Normal,2026-04-04 10:48:12 UTC
4,2161,2019,4,0.147595,0,Normal,2026-04-04 10:48:12 UTC
4,2161,2019,4,0.147595,0,Normal,2026-04-04 10:48:12 UTC
4,2161,2019,4,0.147595,0,Normal,2026-04-04 10:48:12 UTC
4,2161,2019,4,0.147595,0,Normal,2026-04-04 10:48:12 UTC
5,2161,2019,4,0.194171,0,Normal,2026-04-04 10:48:12 UTC
5,2161,2019,4,0.194171,0,Normal,2026-04-04 10:48:12 UTC
5,2161,2019,4,0.194171,0,Normal,2026-04-04 10:48:12 UTC
5,2161,2019,4,0.194171,0,Normal,2026-04-04 10:48:12 UTC
6,2161,2019,4,0.201397,0,Normal,2026-04-04 10:48:12 UTC
6,2161,2019,4,0.201397,0,Normal,2026-04-04 10:48:12 UTC
6,2161,2019,4,0.201397,0,Normal,2026-04-04 10:48:12 UTC
6,2161,2019,4,0.201397,0,Normal,2026-04-04 10:48:12 UTC
7,2161,2019,4,0.194824,0,Normal,2026-04-04 10:48:12 UTC
7,2161,2019,4,0.194824,0,Normal,2026-04-04 10:48:12 UTC
7,2161,2019,4,0.194824,0,Normal,2026-04-04 10:48:12 UTC
7,2161,2019,4,0.194824,0,Normal,2026-04-04 10:48:12 UTC
8,2161,2019,4,0.103124,0,Normal,2026-04-04 10:48:12 UTC
8,2161,2019,4,0.103124,0,Normal,2026-04-04 10:48:12 UTC
