"fact_mob_sk","time_sk","zone_sk","line_sk","mode_sk","event_sk","stop_sk","weather_sk","annule","charge_estimee","vitesse_kmh","temps_trajet_min","congestion_index","stress_1_5","satisfaction_1_5","bak_vitesse_kmh","bak_temps_trajet_min","bak_stress_1_5","bak_weather_sk"
"1","12006","7","15","1","12","124",NULL,"0","65","27.65","12.28","3","2","2","2125","12.28","2","0"
"2","9692","7","11","3","16","5",NULL,"0","9","22.4","17.95","3","2","3","22.4","2633","2","0"
"3","34704","8","9","1","23","162",NULL,"0","78","24.55","20.11","3","2","3","24.55","20.11","2","0"
"4","29004","9","5","5","42","157",NULL,"0","30","35.21","28.79","1","2","2","35.21","28.79","2","0"
"5","18112","10","2","2","71","177",NULL,"0","14","27.65","17.95","2","4","2","3418","2673","4","0"
"6","11692","6","5","1","75","13",NULL,"0","19","13.76","16.9","4","1","2","13.76","16.9","1","0"
"7","25660","5","14","2","80","99",NULL,"0","28","27.65","17.95","1","4","1","4312","2103","4","0"
"8","7430","4","5","2","83","153",NULL,"0","17","27.65","17.95","1","4","1","3565","1157","4","0"
"9","28359","10","11","3","113","94",NULL,"0","73","39.88","20.84","1","1","1","39.88","20.84","1","0"
"10","16940","4","7","5","115","152",NULL,"0","73","27.65","17.95","1","2","2","4152","2117","2","0"
"11","2378","4","9","1","122","91",NULL,"0","16","25.23","12.22","2","1","1","25.23","12.22","1","0"
"12","1025","9","8","3","134","6",NULL,"0","37","35.38","17.95","1","1","2","35.38","1878","1","0"
"13","2246","10","10","3","160","170",NULL,"0","9","23.31","17.95","3","4","2","23.31","1927","4","0"
"14","20747","1","11","3","172","26",NULL,"0","62","27.65","19.73","2","3","3","2705","19.73","3","0"
"15","29389","6","7","1","175","102",NULL,"0","32","39.04","21.54","1","3","2","39.04","21.54","3","0"
"16","7430","4","1","2","208","23",NULL,"0","41","27.65","17.95","1","4","1","3565","1157","4","0"
"17","473","8","8","1","224","128",NULL,"0","103","27.65","12.98","2","2","3","2585","12.98","2","0"
"18","982","2","13","2","258","3",NULL,"0","16","29.17","27.11","2","1","5","29.17","27.11","1","0"
"19","10933","6","7","2","285","40",NULL,"0","36","31.8","17.95","2","3","2","31.8","1958","3","0"
"20","10933","3","7","1","285","40",NULL,"0","36","27.65","27.91","2","3","3","2618","27.91","3","0"
"21","35014","2","5","2","309","137",NULL,"0","30","29.79","17.95","2","3","1","29.79","1376","3","0"
"22","2118","1","3","1","313","90",NULL,"0","54","45.84","24.51","1","2","2","45.84","24.51","2","0"
"23","4714","6","1","3","329","75",NULL,"0","65","27.65","17.95","1","1","1","4151","2221","1","0"
"24","4034","7","1","2","337","97",NULL,"0","47","27.65","17.95","9","4","4","425","2059","4","0"
"25","1167","4","14","2","346","19",NULL,"0","75","22.51","17.95","3","3","4","22.51","1491","3","0"
"26","1184","1","12","1","363","26",NULL,"0","49","27.65","22.55","2","3","3","2707","22.55","3","0"
"27","21410","2","10","2","380","112",NULL,"0","0","27.65","8.87","3","2","4","2221","8.87","2","0"
"28","7718","1","5","2","397","38",NULL,"0","35","27.65","591","4","3","5","1084","591","3","0"
"29","13675","4","4","1","455","134",NULL,"0","31","27.65","17.95","1","3","3","4719","1845","3","0"
"30","16610","9","13","1","475","55",NULL,"0","57","7.29","17.95","4","1","2","7.29","1409","1","0"
"31","18377","1","13","4","480","28",NULL,"0","46","27.65","14.11","1","4","4","3774","14.11","4","0"
"32","6028","8","12","2","490","95",NULL,"0","93","27.65","6.1","1","4","3","3992","6.1","4","0"
"33","27303","2","3","5","501","4",NULL,"0","55","18.47","17.95","3","2","2","18.47","1369","2","0"
"34","28023","4","3","2","505","118",NULL,"0","51","19.53","19.91","3","3","3","19.53","19.91","3","0"
"35","13223","5","11","2","518","11",NULL,"0","58","14.73","22.26","4","2","4","14.73","22.26","2","0"
"36","13376","1","7","2","536","164",NULL,"0","16","32.27","17.95","2","2","3","32.27","1917","2","0"
"37","15442","6","15","1","539","24",NULL,"0","20","23.1","13.58","3","5","2","23.1","13.58","5","0"
"38","5162","2","10","3","551","111",NULL,"0","64","27.65","28.04","1","3","2","4973","28.04","3","0"
"39","12806","6","5","1","601","109",NULL,"0","59","27.65","7.67","1","1","1","999","7.67","1","0"
"40","11203","5","1","3","607","57",NULL,"0","24","27.65","17.95","3","4","2","2127","1933","4","0"
"41","13398","9","13","4","631","168",NULL,"1","42","27.65","14.82","1","4","3","4524","14.82","4","0"
"42","26404","7","11","4","635","117",NULL,"0","72","24.03","11.65","3","3","1","24.03","11.65","3","0"
"43","16617","10","2","1","636","14",NULL,"0","14","32.22","25.78","2","3","3","32.22","25.78","3","0"
"44","30651","9","15","3","657","49",NULL,"0","60","31.81","17.51","2","3","2","31.81","17.51","3","0"
"45","30651","1","15","4","657","49",NULL,"0","60","27.65","17.95","3","3","4","2225","1459","3","0"
"46","28622","9","11","3","686","53",NULL,"0","34","27.65","17.95","4","3","3","1354","2326","3","0"
"47","23547","10","5","3","692","147",NULL,"0","46","19.92","17.95","3","2","1","19.92","936","2","0"
"48","2458","5","10","1","719","27",NULL,"0","61","27.65","19.63","1","4","3","3945","19.63","4","0"
"49","570","10","2","3","749","18",NULL,"0","43","28.34","13.97","2","4","3","28.34","13.97","4","0"
"50","33359","4","10","2","813","38",NULL,"0","29","27.65","17.95","3","5","3","2222","2129","5","0"
"51","33881","3","15","2","815","122",NULL,"0","31","23.54","16.12","3","2","2","23.54","16.12","2","0"
"52","34720","5","14","5","825","42",NULL,"0","35","23.18","11.56","3","2","3","23.18","11.56","2","0"
"53","9118","9","5","5","826","103",NULL,"0","30","29.87","15.91","2","2","3","29.87","15.91","2","0"
"54","8465","8","11","2","829","18",NULL,"0","28","27.65","17.95","3","3","1","2137","1776","3","0"
"55","31478","7","14","2","869","58",NULL,"0","58","27.65","27.9","4","2","3","1445","27.9","2","0"
"56","6195","5","15","3","874","101",NULL,"0","65","19.59","17.95","3","2","2","19.59","2853","2","0"
"57","27706","9","9","4","878","76",NULL,"0","69","43.46","17.95","1","1","1","43.46","1852","1","0"
