zone_sk,ds,aqi_forecast,aqi_lower,aqi_upper,row_type,pm25_forecast,pm25_lower,pm25_upper,co2_forecast,co2_lower,co2_upper,nrj_forecast,nrj_lower,nrj_upper
1,2019-01-01,27.4542,23.7807,31.1206,historical,14.5438,11.7296,17.3223,97.7656,49.9617,146.4685,78.8659,67.2551,91.158
1,2019-02-01,28.0015,24.2849,31.8682,historical,15.1362,12.4206,17.8937,7.0362,0.0,55.8498,75.2361,62.5539,86.2738
1,2019-03-01,24.3417,20.6569,28.0177,historical,15.5296,12.7422,18.1347,66.8863,19.2481,115.9821,82.8315,70.1719,95.4712
1,2019-04-01,22.0662,18.2179,26.0407,historical,15.7236,12.9533,18.4914,39.2725,0.0,87.9737,89.2571,78.0399,100.4426
1,2019-05-01,23.8047,20.0807,27.8799,historical,16.2643,13.557,18.9115,109.4021,59.6216,157.5595,82.4786,70.2638,94.1691
1,2019-06-01,22.838,19.0043,26.4073,historical,10.8633,8.1576,13.6667,97.6638,48.0793,142.9505,79.7371,66.9452,92.0083
1,2019-07-01,21.6888,18.1817,25.6034,historical,12.6559,9.9669,15.5226,27.9496,0.0,78.0025,84.5562,72.8406,96.4355
1,2019-08-01,25.0864,21.5729,28.7013,historical,14.2948,11.4128,16.7683,101.0878,50.6352,153.4124,80.6234,68.8462,91.886
1,2019-09-01,32.1734,28.7901,36.0917,historical,16.9699,14.3237,19.6443,94.7496,50.3708,145.0711,82.9475,70.4484,93.8023
1,2019-10-01,25.9007,22.0179,29.425,historical,16.4264,13.7427,19.3254,18.4568,0.0,67.9556,83.6829,71.2412,95.7047
1,2019-11-01,21.8418,17.9892,25.5652,historical,11.8072,9.0647,14.6827,99.3636,49.2792,147.794,80.9437,68.5416,92.7237
1,2019-12-01,19.7935,16.2222,23.52,historical,12.1813,9.3822,14.7796,127.6111,79.3156,178.6685,97.3511,86.0122,109.7245
1,2020-01-01,25.8382,22.2151,29.5039,historical,13.7183,11.0381,16.275,94.5822,45.3206,138.9646,76.1998,64.0354,88.184
1,2020-02-01,28.6211,25.0801,32.1766,historical,13.8462,11.0404,16.2614,0.0,0.0,37.3428,81.9646,70.6706,92.7832
1,2020-03-01,27.93,24.3099,31.7096,historical,14.0486,11.3726,16.8206,32.7387,0.0,82.1615,87.263,74.9475,99.3737
1,2020-04-01,14.0068,10.3594,17.6207,historical,13.4484,10.6471,16.1097,56.5414,7.7005,105.4772,94.5245,82.7583,106.3162
1,2020-05-01,25.8175,21.9325,29.4459,historical,11.6763,8.8965,14.315,47.1604,0.0,96.7912,89.1069,76.566,100.474
1,2020-06-01,21.1291,17.3896,24.5891,historical,16.5533,13.5843,19.0895,109.1891,58.8599,155.2446,80.4718,68.9888,92.2914
1,2020-07-01,25.0552,21.2611,28.8925,historical,13.5866,10.9221,16.1846,101.7641,57.2222,152.2637,79.3114,67.5588,91.7101
1,2020-08-01,22.8354,19.0943,26.819,historical,12.1285,9.2118,14.7563,85.1368,36.117,131.2508,85.3261,72.8457,97.3599
1,2020-09-01,21.1435,17.2595,25.0218,historical,13.3331,10.7189,16.0185,117.0129,66.7975,164.2832,76.5786,65.4029,88.1026
1,2020-10-01,23.28,19.6485,27.0694,historical,15.1415,12.3354,17.7726,41.245,0.0,89.5556,96.0164,84.1392,107.4316
1,2020-11-01,25.0013,21.3657,28.5383,historical,13.9094,11.3207,16.6232,62.2361,14.141,111.4092,90.3244,78.4447,102.3605
1,2020-12-01,25.3121,21.6277,28.9587,historical,12.8923,10.3514,15.6817,88.6077,42.6358,139.3846,68.9295,57.4816,80.573
1,2021-01-01,23.5284,19.603,27.0922,historical,13.189,10.3488,16.1019,130.266,79.9219,176.0947,96.0071,84.4333,107.9023
1,2021-02-01,19.4815,15.7248,23.4199,historical,14.7953,12.0858,17.6763,73.6368,24.1542,120.1389,72.6387,60.8605,84.2919
1,2021-03-01,25.1913,21.3394,29.1655,historical,14.2037,11.6805,17.0123,53.0723,7.7252,103.0207,86.0094,74.5223,97.4539
1,2021-04-01,15.3843,11.5276,18.9829,historical,13.9022,11.1009,16.7875,59.9102,12.6758,109.955,92.8224,80.9194,104.8079
1,2021-05-01,24.1013,20.4814,27.9583,historical,12.9748,10.4389,15.6729,77.4118,27.0294,124.6818,86.7547,74.1093,97.962
1,2021-06-01,20.7971,17.1692,24.5349,historical,14.4382,11.8473,17.1113,115.3781,66.1678,163.3572,79.9066,67.9662,91.4315
1,2021-07-01,23.1627,19.377,26.5493,historical,13.0179,10.4043,15.767,86.5115,33.3656,134.9497,80.6648,68.2157,92.6917
1,2021-08-01,22.9389,19.0332,26.3631,historical,12.6241,10.0205,15.2764,99.5883,51.6146,149.297,83.2221,71.765,94.5797
1,2021-09-01,24.4137,20.6433,28.0144,historical,14.3796,11.8457,17.0697,118.9433,70.206,166.527,78.0431,65.8841,89.2654
1,2021-10-01,23.9949,20.1226,27.9311,historical,15.4613,12.901,18.0713,42.6185,0.0,90.5266,91.0887,78.7297,102.8741
1,2021-11-01,23.9343,20.4841,27.8073,historical,13.1122,10.3325,15.8248,83.706,37.5272,131.7769,86.0373,74.2355,98.1129
1,2021-12-01,23.5358,19.5168,27.3865,historical,12.5592,9.8399,15.0989,111.4355,61.9083,157.5732,77.2775,65.8886,88.7318
1,2022-01-01,24.4922,20.9767,28.1861,historical,13.3003,10.601,16.0791,128.3815,76.1405,177.319,88.1768,76.1199,100.3795
1,2022-02-01,22.9686,19.1618,26.6789,historical,14.4395,11.726,17.3375,54.2833,5.2173,103.333,74.3819,62.9072,86.2219
1,2022-03-01,24.11,20.5154,27.5825,historical,14.3732,11.6875,17.1483,73.7905,27.0183,123.3535,84.7096,72.3427,96.7979
1,2022-04-01,18.1869,14.4052,22.001,historical,14.3634,11.6,17.0271,63.4847,16.6202,111.8928,91.0921,79.5696,103.2929
1,2022-05-01,23.546,19.7776,26.9426,historical,14.2328,11.5431,16.8624,107.4941,56.9372,155.6876,84.4242,72.4704,96.3634
1,2022-06-01,21.5187,17.8196,25.1003,historical,12.2959,9.505,14.94,120.8603,72.7603,169.7857,79.3902,68.4475,91.0339
1,2022-07-01,22.2272,18.5487,26.104,historical,12.4883,9.6798,15.2222,71.2207,21.7209,119.1761,81.9956,70.7591,94.0638
1,2022-08-01,23.913,20.4076,27.7938,historical,13.1543,10.3734,15.6259,114.2272,66.7467,165.4206,81.0853,69.3827,93.1717
1,2022-09-01,28.3515,24.7478,32.0196,historical,15.427,12.5448,18.0417,120.8419,70.2216,165.3877,79.4468,67.9285,90.3347
1,2022-10-01,25.1636,21.5275,28.5962,historical,15.7503,13.0064,18.6112,44.3436,0.0,92.8775,86.1104,74.9397,97.3519
1,2022-11-01,23.2116,19.2692,27.17,historical,12.2984,9.7326,15.0918,105.4108,56.4993,153.0881,81.8937,69.9187,93.6226
1,2022-12-01,22.0617,18.3871,25.6235,historical,12.2352,9.6516,14.933,133.7648,86.7789,181.8715,85.593,73.8213,98.0537
1,2023-01-01,25.6651,21.9374,29.4966,forecast,13.4167,10.5938,15.9818,125.8037,76.8416,173.1567,80.2616,68.0362,91.3114
1,2023-02-01,26.4558,22.9414,30.3676,forecast,14.0896,11.4572,16.86,35.0696,0.0,85.0247,76.1793,65.1166,87.8314
1,2023-03-01,23.0157,19.2391,26.7559,forecast,14.5556,11.8818,17.2676,94.9156,46.717,145.0214,83.366,71.5092,94.3347
1,2023-04-01,20.9835,17.3393,24.6152,forecast,14.83,12.028,17.443,67.2971,21.4662,115.9486,89.3392,77.1623,101.4836
1,2023-05-01,22.9576,19.1599,26.3433,forecast,15.4487,12.8254,17.9458,137.4222,86.5887,185.4297,82.1229,69.8787,93.8093
1,2023-06-01,22.2342,18.6369,26.0102,forecast,10.1281,7.5794,12.8727,125.6792,71.8721,171.542,78.9289,67.2615,90.6376
1,2023-07-01,21.3205,17.626,24.8572,forecast,11.9985,9.2882,14.7704,55.9605,7.6252,100.6424,83.3101,72.0321,95.0597
1,2023-08-01,24.9614,21.3983,28.4722,forecast,13.7179,10.9563,16.3803,129.0941,83.0035,178.9417,78.9249,66.8429,91.6912
1,2023-09-01,32.2917,28.2076,35.8197,forecast,16.4735,13.8701,19.5752,122.7512,72.3129,171.2353,80.7965,69.2395,92.7169
1,2023-10-01,26.2544,22.4203,30.028,forecast,16.0078,13.3445,18.5158,46.454,0.0,97.3748,81.0941,69.1416,93.3269
1,2023-11-01,22.4387,18.6822,26.125,forecast,11.469,8.9316,14.0481,127.356,77.428,180.7394,77.9028,66.2228,89.8392
