"fact_impact_sk","time_sk","zone_sk","mode_sk","weather_sk","event_sk","energie_kwh","co2_kg","pm25","no2","aqi_index","nb_accidents","nb_graves","nb_mortels","usagers_vulnerables","volume_crimes","taux_criminalite","bak_co2_kg","bak_nb_mortels","bak_volume_crimes","bak_aqi_index","bak_taux_criminalite","bak_pm25","bak_no2","bak_zone_sk","bak_mode_sk","bak_event_sk"
"1","1","1","2","1","0","124.567","333.839","18.625","40.7","31.25","0","0","0","0","23","1.353","333.839","0","23","31.25","1.353","18.625","40.7","1","2","0"
"2","1","1","2","35065","0","124.567","333.839","18.625","40.7","31.25","0","0","0","0","23","1.353","333.839","0","23","31.25","1.353","18.625","40.7","1","2","0"
"3","1","1","2","70129","0","124.567","333.839","18.625","40.7","31.25","0","0","0","0","23","1.353","333.839","0","23","31.25","1.353","18.625","40.7","1","2","0"
"4","1","1","2","105193","0","124.567","333.839","18.625","40.7","31.25","0","0","0","0","23","1.353","333.839","0","23","31.25","1.353","18.625","40.7","1","2","0"
"5","1","1","2","140257","0","124.567","333.839","18.625","40.7","31.25","0","0","0","0","23","1.353","333.839","0","23","31.25","1.353","18.625","40.7","1","2","0"
"6","1","1","2","175321","0","124.567","333.839","18.625","40.7","31.25","0","0","0","0","23","1.353","333.839","0","23","31.25","1.353","18.625","40.7","1","2","0"
"7","1","1","2","210385","0","124.567","333.839","18.625","40.7","31.25","0","0","0","0","23","1.353","333.839","0","23","31.25","1.353","18.625","40.7","1","2","0"
"8","1","1","2","245449","0","124.567","333.839","18.625","40.7","31.25","0","0","0","0","23","1.353","333.839","0","23","31.25","1.353","18.625","40.7","1","2","0"
"9","1","1","2","280513","0","124.567","333.839","18.625","40.7","31.25","0","0","0","0","23","1.353","333.839","0","23","31.25","1.353","18.625","40.7","1","2","0"
"10","1","1","2","315577","0","124.567","333.839","18.625","40.7","31.25","0","0","0","0","23","1.353","333.839","0","23","31.25","1.353","18.625","40.7","1","2","0"
"11","1","1","6","1","0","44.1067","118.206","18.625","40.7","31.25","0","0","0","0","23","1.353","118.206","0","23","31.25","1.353","18.625","40.7","1","0","0"
"12","1","1","6","35065","0","44.1067","118.206","18.625","40.7","31.25","0","0","0","0","23","1.353","118.206","0","23","31.25","1.353","18.625","40.7","1","0","0"
"13","1","1","6","70129","0","44.1067","118.206","18.625","40.7","31.25","0","0","0","0","23","1.353","118.206","0","23","31.25","1.353","18.625","40.7","1","0","0"
"14","1","1","6","105193","0","44.1067","118.206","18.625","40.7","31.25","0","0","0","0","23","1.353","118.206","0","23","31.25","1.353","18.625","40.7","1","0","0"
"15","1","1","6","140257","0","44.1067","118.206","18.625","40.7","31.25","0","0","0","0","23","1.353","118.206","0","23","31.25","1.353","18.625","40.7","1","0","0"
"16","1","1","6","175321","0","44.1067","118.206","18.625","40.7","31.25","0","0","0","0","23","1.353","118.206","0","23","31.25","1.353","18.625","40.7","1","0","0"
