ds,zone_sk,congestion_forecast,congestion_lower,congestion_upper
2019-01-01,1,1.389,0.066,2.853
2019-01-02,1,1.7753,0.3477,3.1812
2019-02-01,1,1.7439,0.2786,3.1648
2019-02-02,1,1.8652,0.419,3.2108
2019-02-03,1,1.8864,0.511,3.3054
2019-02-04,1,1.9401,0.603,3.375
2019-02-05,1,1.7463,0.2921,3.1154
2019-02-06,1,1.8433,0.385,3.3154
2019-03-01,1,2.182,0.7489,3.7418
2019-03-02,1,2.2463,0.8761,3.6182
2019-03-03,1,2.1973,0.7631,3.5868
2019-03-04,1,2.1684,0.8233,3.5712
2019-03-05,1,1.8807,0.4454,3.2766
2019-03-06,1,1.874,0.5095,3.2697
2019-03-07,1,1.7811,0.3089,3.205
2019-03-08,1,1.589,0.1447,2.9222
2019-03-09,1,1.6308,0.1331,3.1677
2019-03-10,1,1.5726,0.0479,2.9484
2019-04-01,1,2.9528,1.5369,4.3829
2019-04-02,1,2.8867,1.6015,4.4026
2019-04-03,1,3.095,1.7013,4.5156
2019-04-04,1,3.2064,1.7586,4.7629
2019-04-05,1,3.2039,1.738,4.5963
2019-04-06,1,3.4169,1.9246,4.7617
2019-04-07,1,3.5083,2.0254,4.9219
2019-04-08,1,3.6091,2.0846,4.958
2019-04-09,1,3.4383,2.103,4.8525
2019-04-10,1,3.5338,2.1349,4.9444
2019-04-11,1,3.5266,2.0857,5.0108
2019-04-12,1,3.4023,2.1031,4.8225
2019-04-13,1,3.4925,2.0627,4.9226
2019-05-01,1,1.5865,0.1701,2.9836
2019-05-02,1,1.8758,0.4134,3.1744
2019-05-03,1,1.7559,0.2544,3.1119
2019-05-04,1,1.8764,0.386,3.2436
2019-05-05,1,1.9004,0.4742,3.2339
2019-05-06,1,1.959,0.614,3.4064
2019-05-07,1,1.7702,0.4887,3.1603
2019-06-01,1,2.1716,0.6813,3.5691
2019-06-02,1,2.2344,0.9294,3.7434
2019-06-03,1,2.3313,0.9386,3.7349
2019-06-04,1,2.1817,0.698,3.7174
2019-06-05,1,2.3231,0.8659,3.8105
2019-06-06,1,2.3858,1.0192,3.856
2019-06-07,1,2.3539,0.8944,3.7967
2019-06-08,1,2.5573,1.1604,3.9683
2019-06-09,1,2.6589,1.1699,4.1509
2019-06-10,1,2.4719,0.9741,3.9383
2019-06-11,1,2.6662,1.2196,4.0782
2019-06-12,1,2.8264,1.3706,4.2182
2019-06-13,1,2.8991,1.5122,4.3189
2019-06-14,1,2.8674,1.4372,4.2476
2019-06-15,1,3.0606,1.6862,4.4252
2019-07-01,1,2.6165,1.1864,4.0842
2019-07-02,1,2.3052,0.9164,3.78
2019-07-03,1,2.2772,0.7266,3.6171
2019-07-04,1,2.1655,0.6957,3.5017
2019-07-05,1,1.9569,0.552,3.4171
2019-07-06,1,1.9842,0.5563,3.3956
2019-07-07,1,1.9132,0.47,3.3848
2019-07-08,1,1.8777,0.4611,3.3443
2019-07-09,1,1.5985,0.1146,2.9998
2019-07-10,1,1.6149,0.1904,2.9718
2019-07-11,1,1.5589,0.1219,2.9811
