"time_sk","time_code","date","heure","jour","mois","annee","jour_semaine","weekend","periode"
"1","20190101_00_H","2019-01-01","00:00:00","1","1","2019","2","0","hors_pointe"
"2","20190101_10000_H","2019-01-01","01:00:00","1","1","2019","2","0","hors_pointe"
"3","20190101_20000_H","2019-01-01","02:00:00","1","1","2019","2","0","hors_pointe"
"4","20190101_30000_H","2019-01-01","03:00:00","1","1","2019","2","0","hors_pointe"
"5","20190101_40000_H","2019-01-01","04:00:00","1","1","2019","2","0","hors_pointe"
"6","20190101_50000_H","2019-01-01","05:00:00","1","1","2019","2","0","hors_pointe"
"7","20190101_60000_H","2019-01-01","06:00:00","1","1","2019","2","0","hors_pointe"
"8","20190101_70000_P","2019-01-01","07:00:00","1","1","2019","2","0","pointe"
"9","20190101_80000_P","2019-01-01","08:00:00","1","1","2019","2","0","pointe"
"10","20190101_90000_P","2019-01-01","09:00:00","1","1","2019","2","0","pointe"
"12","20190101_110000_H","2019-01-01","11:00:00","1","1","2019","2","0","hors_pointe"
"13","20190101_120000_H","2019-01-01","12:00:00","1","1","2019","2","0","hors_pointe"
"14","20190101_130000_H","2019-01-01","13:00:00","1","1","2019","2","0","hors_pointe"
"15","20190101_140000_H","2019-01-01","14:00:00","1","1","2019","2","0","hors_pointe"
"16","20190101_150000_H","2019-01-01","15:00:00","1","1","2019","2","0","hors_pointe"
"17","20190101_160000_H","2019-01-01","16:00:00","1","1","2019","2","0","hors_pointe"
"18","20190101_170000_P","2019-01-01","17:00:00","1","1","2019","2","0","pointe"
"19","20190101_180000_P","2019-01-01","18:00:00","1","1","2019","2","0","pointe"
"20","20190101_190000_P","2019-01-01","19:00:00","1","1","2019","2","0","pointe"
"21","20190101_200000_H","2019-01-01","20:00:00","1","1","2019","2","0","hors_pointe"
"22","20190101_210000_H","2019-01-01","21:00:00","1","1","2019","2","0","hors_pointe"
"23","20190101_220000_H","2019-01-01","22:00:00","1","1","2019","2","0","hors_pointe"
"24","20190101_230000_H","2019-01-01","23:00:00","1","1","2019","2","0","hors_pointe"
"25","20190102_00_H","2019-01-02","00:00:00","2","1","2019","3","0","hors_pointe"
"26","20190102_10000_H","2019-01-02","01:00:00","2","1","2019","3","0","hors_pointe"
"27","20190102_20000_H","2019-01-02","02:00:00","2","1","2019","3","0","hors_pointe"
"28","20190102_30000_H","2019-01-02","03:00:00","2","1","2019","3","0","hors_pointe"
"29","20190102_40000_H","2019-01-02","04:00:00","2","1","2019","3","0","hors_pointe"
"30","20190102_50000_H","2019-01-02","05:00:00","2","1","2019","3","0","hors_pointe"
"31","20190102_60000_H","2019-01-02","06:00:00","2","1","2019","3","0","hors_pointe"
"32","20190102_70000_P","2019-01-02","07:00:00","2","1","2019","3","0","pointe"
"33","20190102_80000_P","2019-01-02","08:00:00","2","1","2019","3","0","pointe"
"34","20190102_90000_P","2019-01-02","09:00:00","2","1","2019","3","0","pointe"
"35","20190102_100000_H","2019-01-02","10:00:00","2","1","2019","3","0","hors_pointe"
"36","20190102_110000_H","2019-01-02","11:00:00","2","1","2019","3","0","hors_pointe"
"37","20190102_120000_H","2019-01-02","12:00:00","2","1","2019","3","0","hors_pointe"
"38","20190102_130000_H","2019-01-02","13:00:00","2","1","2019","3","0","hors_pointe"
"39","20190102_140000_H","2019-01-02","14:00:00","2","1","2019","3","0","hors_pointe"
"40","20190102_150000_H","2019-01-02","15:00:00","2","1","2019","3","0","hors_pointe"
"41","20190102_160000_H","2019-01-02","16:00:00","2","1","2019","3","0","hors_pointe"
"42","20190102_170000_P","2019-01-02","17:00:00","2","1","2019","3","0","pointe"
"43","20190102_180000_P","2019-01-02","18:00:00","2","1","2019","3","0","pointe"
"44","20190102_190000_P","2019-01-02","19:00:00","2","1","2019","3","0","pointe"
"45","20190102_200000_H","2019-01-02","20:00:00","2","1","2019","3","0","hors_pointe"
