zone_sk,ds,aqi_forecast,aqi_lower,aqi_upper,row_type,pm25_forecast,pm25_lower,pm25_upper,co2_forecast,co2_lower,co2_upper,nrj_forecast,nrj_lower,nrj_upper
1,2019-01-01,27.4542,23.8308,31.3841,historical,14.5438,11.7803,17.3865,97.7656,48.5338,146.8366,78.8659,66.62,90.1371
1,2019-02-01,28.0015,24.4484,31.7494,historical,15.1362,12.6848,18.0303,7.0362,0.0,56.2487,75.2361,64.0644,87.1016
1,2019-03-01,24.3417,20.7153,28.2609,historical,15.5296,12.9356,18.0916,66.8863,19.9747,116.86,82.8315,71.0107,95.1858
1,2019-04-01,22.0662,18.2503,25.7358,historical,15.7236,12.8324,18.3268,39.2725,0.0,84.9215,89.2571,78.1524,101.5814
1,2019-05-01,23.8047,20.6069,27.5478,historical,16.2643,13.5657,18.8433,109.4021,60.7016,158.5457,82.4786,70.5894,93.6259
1,2019-06-01,22.838,19.2041,26.4489,historical,10.8633,8.2062,13.5576,97.6638,45.8969,147.5958,79.7371,67.424,91.7778
1,2019-07-01,21.6888,17.8448,25.3137,historical,12.6559,9.9315,15.2635,27.9496,0.0,77.3717,84.5562,71.9125,95.4605
1,2019-08-01,25.0864,21.4377,28.857,historical,14.2948,11.5553,17.0513,101.0878,53.628,146.9795,80.6234,68.694,91.6399
1,2019-09-01,32.1734,28.5739,35.7221,historical,16.9699,14.2165,19.5129,94.7496,47.9019,144.141,82.9475,72.0489,94.6226
1,2019-10-01,25.9007,22.165,29.6771,historical,16.4264,13.4571,19.235,18.4568,0.0,66.8127,83.6829,71.795,96.0548
1,2019-11-01,21.8418,18.1749,25.4484,historical,11.8072,9.127,14.4533,99.3636,53.02,143.645,80.9437,69.4632,92.2098
1,2019-12-01,19.7935,15.8227,23.8128,historical,12.1813,9.4373,14.8501,127.6111,77.2881,174.5418,97.3511,85.0747,108.7314
1,2020-01-01,25.8382,22.0451,29.5484,historical,13.7183,10.7985,16.1774,94.5822,44.7519,145.3701,76.1998,65.0371,88.2323
1,2020-02-01,28.6211,24.809,32.2005,historical,13.8462,11.2272,16.6478,0.0,0.0,36.5076,81.9646,71.1286,94.1179
1,2020-03-01,27.93,24.2673,31.5735,historical,14.0486,11.1745,16.6092,32.7387,0.0,81.9653,87.263,75.3442,99.3747
1,2020-04-01,14.0068,10.4372,17.6276,historical,13.4484,10.8452,16.1618,56.5414,6.9381,102.6654,94.5245,82.8174,105.951
1,2020-05-01,25.8175,22.3569,29.6028,historical,11.6763,9.0216,14.3263,47.1604,0.3638,98.1027,89.1069,76.6565,100.1639
1,2020-06-01,21.1291,17.6337,25.0654,historical,16.5533,13.8467,19.2427,109.1891,59.871,161.2073,80.4718,69.77,92.5921
1,2020-07-01,25.0552,21.3497,28.9588,historical,13.5866,10.9806,16.2125,101.7641,56.243,148.1802,79.3114,67.7158,91.2056
1,2020-08-01,22.8354,19.1048,26.4728,historical,12.1285,9.3621,15.0586,85.1368,36.7011,135.5234,85.3261,73.7509,97.0834
1,2020-09-01,21.1435,17.5885,25.0314,historical,13.3331,10.7417,16.0787,117.0129,68.1461,166.8817,76.5786,64.8404,88.2523
1,2020-10-01,23.28,19.2833,27.0537,historical,15.1415,12.3548,17.8164,41.245,0.0,92.5833,96.0164,83.753,107.7702
1,2020-11-01,25.0013,20.8296,28.495,historical,13.9094,11.3953,16.5626,62.2361,12.718,110.2067,90.3244,78.6895,101.9155
1,2020-12-01,25.3121,21.9996,29.1995,historical,12.8923,10.2816,15.4364,88.6077,44.0037,136.1202,68.9295,56.3701,80.8475
1,2021-01-01,23.5284,19.5621,27.1049,historical,13.189,10.5623,15.926,130.266,82.2985,179.0607,96.0071,83.7002,108.4955
1,2021-02-01,19.4815,15.6396,23.2444,historical,14.7953,12.3573,17.572,73.6368,24.8249,120.871,72.6387,60.9092,84.4778
1,2021-03-01,25.1913,21.7397,29.1696,historical,14.2037,11.5202,17.0012,53.0723,4.3665,99.6311,86.0094,75.532,98.1166
1,2021-04-01,15.3843,11.6573,19.2892,historical,13.9022,11.1192,16.5748,59.9102,8.448,105.9918,92.8224,80.6677,104.1747
1,2021-05-01,24.1013,20.3027,28.0524,historical,12.9748,10.3789,15.5385,77.4118,27.155,124.1537,86.7547,75.2145,98.3088
1,2021-06-01,20.7971,16.9513,24.4551,historical,14.4382,11.917,17.146,115.3781,67.2853,162.5887,79.9066,68.3901,91.7196
1,2021-07-01,23.1627,19.3858,27.0103,historical,13.0179,10.2725,15.7028,86.5115,38.9217,134.402,80.6648,69.9492,92.0495
1,2021-08-01,22.9389,19.0279,26.7984,historical,12.6241,10.0854,15.4626,99.5883,46.7206,148.4253,83.2221,71.4366,95.3592
1,2021-09-01,24.4137,20.8497,28.0485,historical,14.3796,11.5318,17.0316,118.9433,70.4804,169.5189,78.0431,66.6088,89.8605
1,2021-10-01,23.9949,20.2677,27.6129,historical,15.4613,12.7285,18.2635,42.6185,0.0,89.6153,91.0887,78.9475,102.725
1,2021-11-01,23.9343,20.3048,27.6027,historical,13.1122,10.4581,15.7955,83.706,36.5826,133.0235,86.0373,74.4278,98.7136
1,2021-12-01,23.5358,19.7762,27.2534,historical,12.5592,9.795,15.3335,111.4355,60.9184,160.1482,77.2775,65.3127,88.2185
1,2022-01-01,24.4922,20.9361,28.3131,historical,13.3003,10.4274,15.8621,128.3815,79.2288,174.2812,88.1768,75.4968,99.8457
1,2022-02-01,22.9686,19.2718,26.64,historical,14.4395,11.7415,17.1803,54.2833,6.1026,102.0563,74.3819,63.0074,86.4846
