ds,zone_sk,congestion_forecast,congestion_lower,congestion_upper
2019-01-01,1,1.5928,0.1203,2.9856
2019-01-02,1,2.2926,0.8987,3.7671
2019-02-01,1,1.8743,0.3647,3.3032
2019-02-02,1,1.8269,0.4484,3.2666
2019-02-03,1,2.0077,0.6513,3.4263
2019-02-04,1,2.0618,0.5393,3.5519
2019-02-05,1,2.0329,0.6473,3.5073
2019-02-06,1,2.2676,0.8102,3.7574
2019-03-01,1,2.1583,0.672,3.7149
2019-03-02,1,2.0367,0.4403,3.4532
2019-03-03,1,2.1364,0.6948,3.4942
2019-03-04,1,2.1039,0.6313,3.5596
2019-03-05,1,1.9842,0.5667,3.4241
2019-03-06,1,2.1257,0.7346,3.5281
2019-03-07,1,1.9318,0.4478,3.3254
2019-03-08,1,1.7322,0.3418,3.2493
2019-03-09,1,1.6153,0.1332,3.069
2019-03-10,1,1.729,0.2078,3.1299
2019-04-01,1,3.088,1.6955,4.5821
2019-04-02,1,3.1322,1.7528,4.7272
2019-04-03,1,3.4287,2.1247,4.8868
2019-04-04,1,3.3783,2.0019,4.7925
2019-04-05,1,3.3082,1.9252,4.8427
2019-04-06,1,3.3045,1.8996,4.77
2019-04-07,1,3.5129,2.0584,5.0521
2019-04-08,1,3.5781,2.2841,5.0251
2019-04-09,1,3.5438,2.1989,5.0138
2019-04-10,1,3.7568,2.2173,5.1214
2019-04-11,1,3.6193,2.2494,5.1749
2019-04-12,1,3.4601,2.0174,4.932
2019-04-13,1,3.3668,1.8922,4.8588
2019-05-01,1,1.8444,0.3473,3.3588
2019-05-02,1,2.2266,0.7604,3.6298
2019-05-03,1,2.0443,0.574,3.5142
2019-05-04,1,1.9462,0.5046,3.3957
2019-05-05,1,2.0786,0.5757,3.5939
2019-05-06,1,2.0863,0.6446,3.5322
2019-05-07,1,2.0127,0.5659,3.4913
2019-06-01,1,2.1776,0.7412,3.6256
2019-06-02,1,2.3758,1.0579,3.8163
2019-06-03,1,2.4456,0.9641,3.9331
2019-06-04,1,2.4306,0.9679,3.9207
2019-06-05,1,2.677,1.1916,4.1427
2019-06-06,1,2.5865,1.1539,4.0486
2019-06-07,1,2.4866,1.0772,3.9135
2019-06-08,1,2.4637,1.0191,3.8826
2019-06-09,1,2.6635,1.2071,4.2003
2019-06-10,1,2.7462,1.2805,4.1069
2019-06-11,1,2.7076,1.2092,4.1245
2019-06-12,1,2.9412,1.6228,4.3764
2019-06-13,1,2.8325,1.3968,4.2656
2019-06-14,1,2.7093,1.2168,4.0988
2019-06-15,1,2.6578,1.1909,4.0977
2019-07-01,1,2.2508,0.6821,3.7149
2019-07-02,1,2.1412,0.7098,3.6663
2019-07-03,1,2.2966,0.8766,3.7023
2019-07-04,1,2.12,0.6406,3.5276
2019-07-05,1,1.9408,0.4566,3.365
2019-07-06,1,1.8466,0.4259,3.3064
2019-07-07,1,1.9846,0.4483,3.3624
2019-07-08,1,2.0007,0.5438,3.5149
2019-07-09,1,1.9389,0.4972,3.3378
