City,Domain,User,Stars,Feedback,Date
Paris,iledefrance-mobilites.fr,A BD,0,,2019-08-26T12:48:45.000Z
Nice,lignesdazur.com,A L B A T R O Z 暁,0,Machine en libre service,2019-11-01T10:40:21.000Z
Paris,iledefrance-mobilites.fr,AA,0,Une honte !,2026-01-05T23:28:49.000Z
Paris,iledefrance-mobilites.fr,aaimeep28,1,,2022-01-05T23:28:49.000Z
Marseille,rtm.fr,AB,0,Bus 18,2019-10-01T17:05:48.000Z
Marseille,rtm.fr,ABOUDOU,1,,2021-10-01T17:05:48.000Z
Marseille,rtm.fr,Abygaël Fourrier,0,Aucun bus ne passent,2019-07-30T15:12:17.000Z
Lyon,tcl.fr,AC,0,Le véhicule 3703 à minuit 20 sur la…,2019-11-01T01:27:16.000Z
Marseille,rtm.fr,AD,0,,2019-05-16T18:47:43.000Z
Nice,lignesdazur.com,adam autuori,1,,2021-04-18T05:26:23.000Z
Montpellier,tam-voyages.com,administratifs Frédéric,1,,2020-06-11T17:43:39.000Z
Lille,ilevia.fr,Aida,1,,2021-07-04T08:48:06.000Z
Paris,iledefrance-mobilites.fr,AL,0,Triste à pleurer,2026-01-18T14:51:09.000Z
Paris,iledefrance-mobilites.fr,ALAIN,0,Suite à une énième perturbation,2019-10-27T13:36:50.000Z
Nice,lignesdazur.com,Alain Bouleuc,0,Tram 26mn d'attente!!!,2019-08-18T22:46:35.000Z
Marseille,rtm.fr,Alain Mouchighian,1,,2021-05-17T19:17:42.000Z
Nice,lignesdazur.com,alain S,0,Annulation d’une carte d’abonnement…,2019-08-18T12:27:25.000Z
Nice,lignesdazur.com,Albert von S,0,HONTEUX,2019-05-20T21:47:40.000Z
Nice,lignesdazur.com,Alech,1,,2022-01-06T13:09:52.000Z
Paris,iledefrance-mobilites.fr,Aled,1,,2022-01-06T15:36:53.000Z
Marseille,rtm.fr,Alexandra Makhoukhi,1,,2021-09-19T17:42:29.000Z
Lille,ilevia.fr,Alexis,5,,2021-12-20T20:04:12.000Z
Montpellier,tam-voyages.com,Alexis Panza,1,,2021-10-02T10:52:29.000Z
Lille,ilevia.fr,Alfayani ISSIHAKA,1,,2021-10-21T12:55:58.000Z
Marseille,rtm.fr,Alice,1,,2021-09-05T07:11:06.000Z
Marseille,rtm.fr,alice ovidi,0,Terminus des Caillols!,2019-11-20T16:18:07.000Z
Bordeaux,infotbm.com,Alin BNG,1,,2021-06-13T09:37:39.000Z
Paris,ratp.fr,Alois Langlois,0,Endroit choquant,2019-11-18T23:21:26.000Z
Bordeaux,infotbm.com,Aloon Cneja,1,,2021-06-26T20:11:29.000Z
Montpellier,tam-voyages.com,Alphé Zohou,1,,2020-07-30T08:33:51.000Z
Lyon,tcl.fr,Alvaro Castillo,5,,2021-11-01T01:27:16.000Z
Paris,iledefrance-mobilites.fr,AM,0,Le bus dm11a n’est pas venue à l’heure…,2019-12-05T08:44:38.000Z
Paris,ratp.fr,amine rahmani,0,,2019-05-30T15:53:03.000Z
Lyon,tcl.fr,AN,0,Pourri et dangereux,2019-12-19T16:35:59.000Z
Montpellier,tam-voyages.com,Anas Bacha,1,,2021-10-30T23:26:12.000Z
Lyon,tcl.fr,Anaïs,0,Vous pouvez faire passer le mot à tout…,2019-11-27T16:52:42.000Z
Paris,iledefrance-mobilites.fr,Anaïs Mawete,1,,2021-12-05T08:44:38.000Z
Marseille,rtm.fr,andre revest,1,,2021-06-02T15:44:10.000Z
Montpellier,tam-voyages.com,Angel,1,,2021-04-26T23:48:33.000Z
Nice,lignesdazur.com,Angel Wicc,0,Ligne 3 St isidor mais on pourrait…,2019-09-11T18:17:05.000Z
Nice,lignesdazur.com,angele haime,0,Belle arnaque la nouvelle carte,2019-04-07T14:42:01.000Z
Lille,ilevia.fr,Anlch,1,,2021-04-11T17:39:16.000Z
Marseille,rtm.fr,Anlosef,0,Cette entreprise a tenté de me tuer et…,2019-05-30T17:24:55.000Z
Lille,ilevia.fr,anne mulier,1,,2021-11-22T19:56:20.000Z
Paris,ratp.fr,Annick Pilard,1,,2022-01-14T11:46:18.000Z
Lyon,tcl.fr,Anonyme,1,,2021-12-19T16:35:59.000Z
Nice,lignesdazur.com,Anthony DA SILVA,0,Ce jour,2019-07-07T17:03:15.000Z
Montpellier,tam-voyages.com,Anthony Ollier,1,,2021-08-04T16:00:46.000Z
Paris,iledefrance-mobilites.fr,Anthony RUBEUS,0,C'est du vol,2019-11-29T12:00:34.000Z
Paris,ratp.fr,Antoine Helou,0,J’aimerais pouvoir mettre 0 étoile mais…,2019-12-27T07:47:14.000Z
Paris,ratp.fr,AP,0,Ne s'améliore pas avec le temps,2026-01-14T11:46:18.000Z
