feedback_id,vader_score,bert_label,final_sentiment,zone_sk,City,Date
1,0.0,,neutral,6,Paris,2019-08-26T12:48:45.000Z
2,0.0,,neutral,5,Nice,2019-11-01T10:40:21.000Z
3,0.0,negative,negative,6,Paris,2026-01-05T23:28:49.000Z
4,0.0,,neutral,6,Paris,2022-01-05T23:28:49.000Z
5,0.0,,neutral,3,Marseille,2019-10-01T17:05:48.000Z
6,0.0,,neutral,3,Marseille,2021-10-01T17:05:48.000Z
7,0.0,negative,negative,3,Marseille,2019-07-30T15:12:17.000Z
8,0.0,neutral,neutral,2,Lyon,2019-11-01T01:27:16.000Z
9,0.0,,neutral,3,Marseille,2019-05-16T18:47:43.000Z
10,0.0,,neutral,5,Nice,2021-04-18T05:26:23.000Z
11,0.0,neutral,neutral,4,Montpellier,2020-06-11T17:43:39.000Z
12,0.0,,neutral,1,Lille,2021-07-04T08:48:06.000Z
13,0.0,,neutral,6,Paris,2026-01-18T14:51:09.000Z
14,0.0,,neutral,6,Paris,2019-10-27T13:36:50.000Z
15,0.0,,neutral,5,Nice,2019-08-18T22:46:35.000Z
16,0.0,,neutral,3,Marseille,2021-05-17T19:17:42.000Z
17,0.0,,neutral,5,Nice,2019-08-18T12:27:25.000Z
18,0.0,,neutral,5,Nice,2019-05-20T21:47:40.000Z
19,0.0,,neutral,5,Nice,2022-01-06T13:09:52.000Z
20,0.0,,neutral,6,Paris,2022-01-06T15:36:53.000Z
21,0.0,,neutral,3,Marseille,2021-09-19T17:42:29.000Z
22,0.0,,neutral,1,Lille,2021-12-20T20:04:12.000Z
23,0.0,,neutral,4,Montpellier,2021-10-02T10:52:29.000Z
24,0.0,neutral,neutral,1,Lille,2021-10-21T12:55:58.000Z
25,0.0,,neutral,3,Marseille,2021-09-05T07:11:06.000Z
26,0.0,,neutral,3,Marseille,2019-11-20T16:18:07.000Z
27,0.0,,neutral,0,Bordeaux,2021-06-13T09:37:39.000Z
28,0.0,,neutral,6,Paris,2019-11-18T23:21:26.000Z
29,0.0,neutral,neutral,0,Bordeaux,2021-06-26T20:11:29.000Z
30,0.0,,neutral,4,Montpellier,2020-07-30T08:33:51.000Z
31,0.0,neutral,neutral,2,Lyon,2021-11-01T01:27:16.000Z
32,0.0,neutral,neutral,6,Paris,2019-12-05T08:44:38.000Z
33,0.0,,neutral,6,Paris,2019-05-30T15:53:03.000Z
34,0.0,negative,negative,2,Lyon,2019-12-19T16:35:59.000Z
35,0.0,,neutral,4,Montpellier,2021-10-30T23:26:12.000Z
36,-0.128,,negative,2,Lyon,2019-11-27T16:52:42.000Z
37,0.0,,neutral,6,Paris,2021-12-05T08:44:38.000Z
38,0.0,,neutral,3,Marseille,2021-06-02T15:44:10.000Z
39,0.0,,neutral,4,Montpellier,2021-04-26T23:48:33.000Z
40,0.0,neutral,neutral,5,Nice,2019-09-11T18:17:05.000Z
41,0.0,,neutral,5,Nice,2019-04-07T14:42:01.000Z
42,0.0,,neutral,1,Lille,2021-04-11T17:39:16.000Z
43,0.0,,neutral,3,Marseille,2019-05-30T17:24:55.000Z
44,0.0,,neutral,1,Lille,2021-11-22T19:56:20.000Z
45,0.0,neutral,neutral,6,Paris,2022-01-14T11:46:18.000Z
46,0.0,,neutral,2,Lyon,2021-12-19T16:35:59.000Z
47,0.0,,neutral,5,Nice,2019-07-07T17:03:15.000Z
48,0.0,,neutral,4,Montpellier,2021-08-04T16:00:46.000Z
49,0.0,,neutral,6,Paris,2019-11-29T12:00:34.000Z
50,0.0,negative,negative,6,Paris,2019-12-27T07:47:14.000Z
51,0.0,,neutral,6,Paris,2026-01-14T11:46:18.000Z
52,0.0,,neutral,3,Marseille,2019-06-02T15:44:10.000Z
53,0.0,,neutral,6,Paris,2019-12-09T17:14:34.000Z
54,0.0,,neutral,0,Bordeaux,2022-01-15T11:58:16.000Z
55,0.0,neutral,neutral,0,Bordeaux,2021-10-17T07:54:12.000Z
56,0.0,negative,negative,3,Marseille,2019-10-10T10:53:44.000Z
57,0.0,,neutral,3,Marseille,2021-10-10T10:53:44.000Z
58,0.0,,neutral,4,Montpellier,2021-10-27T12:44:25.000Z
59,0.0,,neutral,0,Bordeaux,2019-08-26T15:11:52.000Z
60,0.0,,neutral,3,Marseille,2019-07-23T06:36:40.000Z
61,0.0,neutral,neutral,4,Montpellier,2020-05-23T13:42:41.000Z
62,0.0,,neutral,2,Lyon,2019-12-26T10:30:10.000Z
63,0.0,,neutral,2,Lyon,2021-11-12T21:58:53.000Z
64,0.0,neutral,neutral,0,Bordeaux,2021-12-22T17:17:50.000Z
65,0.0,,neutral,6,Paris,2019-12-07T09:25:57.000Z
